viewer_id,login_date,device_type,session_score,login_channel
925,2023-11-17,Web,14.5,Email
6039,2023-03-28,Web,61.199999999999996,Facebook
5030,2023-08-17,Mobile,46.0,Google
5030,2023-08-17,Mobile,50.6,Google
5030,2023-08-17,Mobile,50.6,Google
4685,2023-08-09,Web,55.0,Apple
9590,2023-05-19,Mobile,30.0,Apple
1833,2023-07-14,Web,66.0,Mobile OTP
3294,2023-01-15,Smart TV,72.0,Email
3294,2023-01-15,Smart TV,30.0,Email
688,2023-02-13,Mobile,93.0,Email
7790,2023-02-08,Mobile,56.879999999999995,Mobile OTP
4759,2024-03-16,Mobile,36.0,Google
4759,2024-03-16,Mobile,33.0,Google
4759,2024-03-16,Mobile,30.0,Google
427,2023-03-17,Smart TV,21.599999999999998,Facebook
2307,2024-03-04,Web,55.00000000000001,Google
2307,2024-03-04,Web,25.0,Google
2307,2024-03-04,Web,60.0,Google
805,2023-12-21,Smart TV,102.30000000000001,Facebook
805,2023-12-21,Smart TV,102.30000000000001,Facebook
1957,2023-11-04,Smart TV,24.3,Mobile OTP
1957,2023-11-04,Smart TV,48.6,Mobile OTP
5658,2024-02-12,Gaming Console,5.5,Mobile OTP
5973,2023-07-14,Web,26.099999999999998,Email
5973,2023-07-14,Web,52.199999999999996,Email
3143,2023-09-16,Smart TV,77.0,Mobile OTP
3143,2023-09-16,Smart TV,77.0,Mobile OTP
5147,2024-01-12,Smart TV,58.8,Google
915,2024-03-02,Mobile,45.0,Google
5680,2023-11-22,Mobile,14.399999999999999,Google
5680,2023-11-22,Mobile,7.199999999999999,Google
4303,2023-10-03,Gaming Console,27.0,Email
7893,2023-03-26,Mobile,0.3,Google
7893,2023-03-26,Mobile,0.72,Google
7893,2023-03-26,Mobile,0.6,Google
4918,2024-03-23,Gaming Console,9.6,Mobile OTP
4918,2024-03-23,Gaming Console,4.0,Mobile OTP
6780,2024-02-08,Mobile,94.0,Apple
5054,2024-01-03,Mobile,15.0,Apple
5054,2024-01-03,Mobile,36.0,Apple
2861,2024-03-29,Gaming Console,33.0,Email
2446,2023-02-08,Gaming Console,38.0,Mobile OTP
2446,2023-02-08,Gaming Console,19.0,Mobile OTP
1854,2023-09-08,Mobile,30.0,Email
9101,2023-10-09,Web,72.0,Google
2367,2023-07-17,Mobile,64.08,Google
2367,2023-07-17,Mobile,58.74,Google
2367,2023-07-17,Mobile,64.08,Google
2367,2023-07-17,Mobile,53.4,Google
9961,2023-01-09,Mobile,110.00000000000001,Facebook
8204,2023-04-06,Mobile,10.799999999999999,Facebook
4597,2023-03-14,Mobile,51.0,Mobile OTP
4597,2023-03-14,Mobile,61.199999999999996,Mobile OTP
3920,2023-05-09,Smart TV,5.0,Mobile OTP
1052,2023-01-05,Web,39.6,Email
3734,2023-12-03,Smart TV,50.0,Apple
3734,2023-12-03,Smart TV,60.0,Apple
6404,2023-01-18,Gaming Console,37.44,Mobile OTP
4386,2023-01-14,Smart TV,56.0,Mobile OTP
1399,2023-04-09,Gaming Console,15.18,Google
1399,2023-04-09,Gaming Console,13.799999999999999,Google
4781,2023-04-01,Gaming Console,1.2,Mobile OTP
4781,2023-04-01,Gaming Console,1.2,Mobile OTP
4781,2023-04-01,Gaming Console,1.2,Mobile OTP
6598,2023-02-07,Gaming Console,1.32,Google
6598,2023-02-07,Gaming Console,1.2,Google
6884,2023-12-21,Gaming Console,70.55999999999999,Google
6884,2023-12-21,Gaming Console,58.8,Google
6884,2023-12-21,Gaming Console,58.8,Google
4840,2023-11-11,Web,28.0,Mobile OTP
8522,2023-10-22,Mobile,28.799999999999997,Mobile OTP
8522,2023-10-22,Mobile,28.799999999999997,Mobile OTP
8522,2023-10-22,Mobile,14.399999999999999,Mobile OTP
6403,2023-04-30,Gaming Console,39.6,Email
6403,2023-04-30,Gaming Console,33.0,Email
6403,2023-04-30,Gaming Console,16.5,Email
2270,2023-02-09,Smart TV,47.4,Google
2270,2023-02-09,Smart TV,23.7,Google
3351,2023-09-30,Gaming Console,56.4,Facebook
3351,2023-09-30,Gaming Console,56.4,Facebook
3832,2024-01-15,Web,31.679999999999996,Apple
4788,2024-01-01,Smart TV,5.1,Email
3278,2023-10-28,Smart TV,10.56,Facebook
3278,2023-10-28,Smart TV,9.6,Facebook
3278,2023-10-28,Smart TV,9.6,Facebook
9776,2024-03-23,Gaming Console,82.0,Mobile OTP
6877,2023-01-13,Smart TV,85.80000000000001,Email
8678,2024-03-20,Mobile,44.22,Apple
8678,2024-03-20,Mobile,40.199999999999996,Apple
8678,2024-03-20,Mobile,48.239999999999995,Apple
9598,2023-11-14,Mobile,16.56,Mobile OTP
9598,2023-11-14,Mobile,6.8999999999999995,Mobile OTP
9598,2023-11-14,Mobile,6.8999999999999995,Mobile OTP
6758,2023-02-01,Mobile,99.0,Mobile OTP
1356,2023-04-19,Mobile,23.4,Apple
8719,2023-03-23,Gaming Console,2.0,Mobile OTP
8719,2023-03-23,Gaming Console,2.0,Mobile OTP
8719,2023-03-23,Gaming Console,1.0,Mobile OTP
4725,2023-12-11,Web,59.0,Email
1979,2023-02-23,Gaming Console,71.28,Facebook
3294,2023-06-05,Web,20.16,Email
3294,2023-06-05,Web,8.4,Email
3950,2023-11-14,Web,90.2,Mobile OTP
1515,2023-10-07,Gaming Console,9.6,Facebook
189,2023-05-02,Web,21.0,Email
189,2023-05-02,Web,21.0,Email
189,2023-05-02,Web,10.5,Email
5743,2023-06-05,Smart TV,15.0,Facebook
5743,2023-06-05,Smart TV,16.5,Facebook
8263,2023-04-24,Smart TV,19.8,Email
8263,2023-04-24,Smart TV,19.8,Email
1626,2023-06-09,Mobile,32.0,Apple
1626,2023-06-09,Mobile,16.0,Apple
1626,2023-06-09,Mobile,38.4,Apple
986,2023-08-06,Smart TV,31.799999999999997,Google
986,2023-08-06,Smart TV,31.799999999999997,Google
986,2023-08-06,Smart TV,31.799999999999997,Google
986,2023-08-06,Smart TV,31.799999999999997,Google
4173,2023-04-20,Gaming Console,44.63999999999999,Apple
8713,2023-07-29,Mobile,16.2,Apple
4707,2023-07-23,Web,71.0,Facebook
4707,2023-07-23,Web,78.10000000000001,Facebook
4707,2023-07-23,Web,78.10000000000001,Facebook
4717,2023-01-27,Gaming Console,19.0,Facebook
4717,2023-01-27,Gaming Console,38.0,Facebook
6317,2023-12-13,Gaming Console,33.0,Email
8969,2023-02-07,Web,32.4,Mobile OTP
8969,2023-02-07,Web,29.700000000000003,Mobile OTP
8969,2023-02-07,Web,29.700000000000003,Mobile OTP
3378,2023-06-14,Mobile,19.8,Google
8736,2023-09-20,Gaming Console,88.0,Mobile OTP
8736,2023-09-20,Gaming Console,88.0,Mobile OTP
781,2023-01-18,Web,3.5999999999999996,Facebook
781,2023-01-18,Web,1.7999999999999998,Facebook
4240,2023-04-11,Web,105.60000000000001,Google
4240,2023-04-11,Web,96.0,Google
4240,2023-04-11,Web,96.0,Google
7677,2023-10-16,Mobile,64.9,Apple
7677,2023-10-16,Mobile,70.8,Apple
1284,2024-01-22,Gaming Console,22.5,Google
8911,2023-05-30,Web,4.319999999999999,Mobile OTP
6963,2023-08-10,Smart TV,18.599999999999998,Facebook
6963,2023-08-10,Smart TV,18.599999999999998,Facebook
8791,2023-06-27,Smart TV,64.0,Facebook
2589,2023-08-26,Mobile,83.60000000000001,Facebook
2589,2023-08-26,Mobile,38.0,Facebook
2589,2023-08-26,Mobile,76.0,Facebook
1442,2023-08-24,Gaming Console,57.0,Facebook
1442,2023-08-24,Gaming Console,62.7,Facebook
6163,2023-09-06,Gaming Console,3.9,Google
