promo_id,viewer_id,promo_type,promo_date,discount_code_used,promo_impact_factor
1,2740,Referral,2024-02-23,False,1.2
2,1224,Free Trial,2023-08-24,True,0.5
3,1318,Discount,2024-01-12,True,1.0
4,9604,Free Trial,2023-12-14,True,0.5
5,3640,Discount,2023-09-17,True,1.0
6,9742,Referral,2023-05-25,False,1.2
7,5914,Bundle,2023-10-05,True,1.0
8,5695,Discount,2023-11-15,True,1.0
9,9752,Cashback,2024-01-05,True,1.1
10,4699,Cashback,2023-02-13,True,1.1
11,6356,Free Trial,2023-07-22,True,0.5
12,5657,Free Trial,2023-06-30,True,0.5
13,3545,Bundle,2024-02-17,True,1.0
14,8203,Referral,2023-08-15,True,1.2
15,8269,Bundle,2023-09-25,True,1.0
16,6719,Free Trial,2024-01-28,True,0.5
17,5268,Free Trial,2023-11-03,True,0.5
18,8369,Discount,2023-06-23,False,1.0
19,6456,Cashback,2023-05-18,True,1.1
20,1108,Free Trial,2023-10-10,True,0.5
21,47,Cashback,2023-08-10,False,1.1
22,5084,Referral,2023-11-26,False,1.2
23,6760,Discount,2023-01-09,True,1.0
24,2157,Free Trial,2023-04-04,True,0.5
25,3462,Referral,2023-12-08,True,1.2
26,7151,Discount,2024-01-01,False,1.0
27,8715,Referral,2023-05-04,True,1.2
28,8538,Discount,2023-04-26,False,1.0
29,8864,Referral,2023-10-07,True,1.2
30,2998,Discount,2023-06-26,True,1.0
31,9291,Bundle,2023-02-23,True,1.0
32,5372,Bundle,2023-06-15,True,1.0
33,3935,Discount,2024-02-24,True,1.0
34,2213,Referral,2023-05-11,False,1.2
35,1104,Referral,2023-03-12,True,1.2
36,4966,Free Trial,2024-03-30,True,0.5
37,1433,Discount,2023-08-20,True,1.0
38,1256,Referral,2023-10-07,True,1.2
39,1808,Cashback,2024-01-04,True,1.1
40,93,Discount,2023-11-08,True,1.0
41,8739,Cashback,2024-03-23,True,1.1
42,5918,Discount,2023-04-06,True,1.0
43,1143,Discount,2023-12-21,True,1.0
44,2632,Referral,2023-03-09,True,1.2
