viewer_id,signup_date,country,age_group,signup_quarter
1,2024-03-30,Canada,26-35,2024Q1
2,2023-09-09,Germany,26-35,2023Q3
3,2023-03-22,Australia,36-45,2023Q1
4,2023-04-04,USA,26-35,2023Q2
5,2023-05-26,Canada,46-55,2023Q2
6,2023-08-15,Germany,36-45,2023Q3
7,2023-06-15,France,18-25,2023Q2
8,2024-02-28,Brazil,36-45,2024Q1
9,2023-06-18,USA,26-35,2023Q2
10,2023-02-14,France,26-35,2023Q1
11,2024-02-17,India,46-55,2024Q1
12,2023-01-23,France,18-25,2023Q1
13,2024-01-24,Australia,56+,2024Q1
14,2024-03-10,Mexico,56+,2024Q1
15,2023-05-12,Mexico,46-55,2023Q2
16,2023-01-16,Germany,56+,2023Q1
17,2023-11-05,India,18-25,2023Q4
18,2023-07-26,Japan,46-55,2023Q3
19,2023-07-16,Australia,18-25,2023Q3
20,2023-09-14,Germany,46-55,2023Q3
21,2023-05-28,Germany,36-45,2023Q2
22,2024-03-19,Canada,46-55,2024Q1
23,2023-05-19,Japan,26-35,2023Q2
24,2023-08-25,Mexico,46-55,2023Q3
25,2024-03-22,UK,26-35,2024Q1
26,2023-12-19,USA,46-55,2023Q4
27,2024-01-26,Canada,46-55,2024Q1
28,2023-03-11,Brazil,36-45,2023Q1
29,2024-03-03,UK,46-55,2024Q1
30,2024-01-22,USA,46-55,2024Q1
31,2023-02-06,India,18-25,2023Q1
32,2023-02-07,Mexico,18-25,2023Q1
33,2023-02-20,Mexico,18-25,2023Q1
34,2023-04-24,Mexico,46-55,2023Q2
35,2023-01-16,Brazil,26-35,2023Q1
36,2023-09-10,USA,26-35,2023Q3
37,2023-01-28,Australia,56+,2023Q1
38,2024-02-27,Canada,56+,2024Q1
39,2023-05-29,Germany,46-55,2023Q2
40,2023-01-31,Japan,46-55,2023Q1
41,2023-03-15,Mexico,36-45,2023Q1
42,2024-01-22,Germany,36-45,2024Q1
43,2023-04-25,Canada,26-35,2023Q2
44,2023-11-13,USA,46-55,2023Q4
45,2023-09-28,India,46-55,2023Q3
46,2023-12-14,India,18-25,2023Q4
47,2023-02-26,France,18-25,2023Q1
48,2023-06-11,Australia,36-45,2023Q2
49,2023-01-28,Mexico,56+,2023Q1
50,2024-01-20,Canada,26-35,2024Q1
51,2023-03-17,Canada,18-25,2023Q1
52,2023-09-08,Mexico,56+,2023Q3
53,2023-02-01,UK,26-35,2023Q1
54,2023-03-03,Brazil,18-25,2023Q1
55,2023-11-26,Brazil,26-35,2023Q4
