viewer_id,login_date,device_type,session_score,login_channel
925,2023-11-17,Web,29,Email
6039,2023-03-28,Web,51,Facebook
5030,2023-08-17,Mobile,46,Google
4685,2023-08-09,Web,55,Apple
9590,2023-05-19,Mobile,30,Apple
1833,2023-07-14,Web,66,Mobile OTP
3294,2023-01-15,Smart TV,100,Email
688,2023-02-13,Tablet,93,Email
7790,2023-02-08,Tablet,79,Mobile OTP
4759,2024-03-16,Tablet,30,Google
427,2023-03-17,Smart TV,36,Facebook
2307,2024-03-04,Web,50,Google
805,2023-12-21,Smart TV,93,Facebook
1957,2023-11-04,Smart TV,81,Mobile OTP
5658,2024-02-12,Gaming Console,11,Mobile OTP
5973,2023-07-14,Web,87,Email
3143,2023-09-16,Smart TV,77,Mobile OTP
5147,2024-01-12,Smart TV,49,Google
915,2024-03-02,Mobile,75,Google
5680,2023-11-22,Mobile,24,Google
4303,2023-10-03,Gaming Console,27,Email
7893,2023-03-26,Tablet,1,Google
4918,2024-03-23,Gaming Console,8,Mobile OTP
6780,2024-02-08,Tablet,94,Apple
5054,2024-01-03,Mobile,30,Apple
2861,2024-03-29,Gaming Console,30,Email
2446,2023-02-08,Gaming Console,38,Mobile OTP
1854,2023-09-08,Tablet,30,Email
9101,2023-10-09,Web,60,Google
2367,2023-07-17,Mobile,89,Google
9961,2023-01-09,Mobile,100,Facebook
8204,2023-04-06,Tablet,18,Facebook
4597,2023-03-14,Mobile,51,Mobile OTP
3920,2023-05-09,Smart TV,5,Mobile OTP
1052,2023-01-05,Web,36,Email
3734,2023-12-03,Smart TV,50,Apple
6404,2023-01-18,Gaming Console,52,Mobile OTP
4386,2023-01-14,Smart TV,56,Mobile OTP
1399,2023-04-09,Gaming Console,23,Google
4781,2023-04-01,Gaming Console,2,Mobile OTP
6598,2023-02-07,Gaming Console,2,Google
6884,2023-12-21,Gaming Console,98,Google
4840,2023-11-11,Web,28,Mobile OTP
8522,2023-10-22,Tablet,48,Mobile OTP
6403,2023-04-30,Gaming Console,55,Email
2270,2023-02-09,Smart TV,79,Google
3351,2023-09-30,Gaming Console,47,Facebook
3832,2024-01-15,Web,44,Apple
4788,2024-01-01,Smart TV,17,Email
3278,2023-10-28,Smart TV,16,Facebook
9776,2024-03-23,Gaming Console,82,Mobile OTP
6877,2023-01-13,Smart TV,78,Email
8678,2024-03-20,Mobile,67,Apple
9598,2023-11-14,Mobile,23,Mobile OTP
6758,2023-02-01,Tablet,99,Mobile OTP
1356,2023-04-19,Tablet,39,Apple
8719,2023-03-23,Gaming Console,2,Mobile OTP
4725,2023-12-11,Web,59,Email
1979,2023-02-23,Gaming Console,99,Facebook
3294,2023-06-05,Web,28,Email
3950,2023-11-14,Web,82,Mobile OTP
1515,2023-10-07,Gaming Console,16,Facebook
189,2023-05-02,Web,35,Email
5743,2023-06-05,Smart TV,15,Facebook
8263,2023-04-24,Smart TV,33,Email
1626,2023-06-09,Tablet,32,Apple
986,2023-08-06,Smart TV,53,Google
4173,2023-04-20,Gaming Console,62,Apple
8713,2023-07-29,Tablet,27,Apple
4707,2023-07-23,Web,71,Facebook
4717,2023-01-27,Gaming Console,38,Facebook
6317,2023-12-13,Gaming Console,33,Email
8969,2023-02-07,Web,45,Mobile OTP
3378,2023-06-14,Tablet,30,Google
8736,2023-09-20,Gaming Console,88,Mobile OTP
781,2023-01-18,Web,6,Facebook
4240,2023-04-11,Web,96,Google
7677,2023-10-16,Tablet,59,Apple
1284,2024-01-22,Gaming Console,45,Google
8911,2023-05-30,Web,6,Mobile OTP
6963,2023-08-10,Smart TV,31,Facebook
8791,2023-06-27,Smart TV,64,Facebook
2589,2023-08-26,Mobile,76,Facebook
1442,2023-08-24,Gaming Console,57,Facebook
6163,2023-09-06,Gaming Console,13,Google
7042,2023-08-02,Web,44,Google
2409,2023-01-25,Web,29,Google
602,2024-03-20,Web,69,Apple
3841,2023-06-02,Mobile,40,Google
9029,2024-02-14,Mobile,64,Facebook
2822,2023-07-07,Web,57,Facebook
1533,2023-04-21,Mobile,54,Mobile OTP
2583,2023-08-12,Mobile,3,Apple
3563,2023-04-01,Web,66,Apple
6842,2023-06-15,Gaming Console,19,Google
9864,2023-11-26,Gaming Console,34,Facebook
8005,2023-10-03,Tablet,66,Apple
4580,2023-01-03,Tablet,68,Email
