promo_id,viewer_id,promo_type,promo_date,discount_code_used
1,2740,Referral,2024-02-23,false
2,1224,Free Trial,2023-08-24,true
3,1318,Discount,2024-01-12,true
4,9604,Free Trial,2023-12-14,true
5,3640,Discount,2023-09-17,true
6,9742,Referral,2023-05-25,false
7,5914,Bundle,2023-10-05,true
8,5695,Discount,2023-11-15,true
9,9752,Cashback,2024-01-05,true
10,4699,Cashback,2023-02-13,true
11,6356,Free Trial,2023-07-22,true
12,5657,Free Trial,2023-06-30,true
13,3545,Bundle,2024-02-17,true
14,8203,Referral,2023-08-15,true
15,8269,Bundle,2023-09-25,true
16,6719,Free Trial,2024-01-28,true
17,5268,Free Trial,2023-11-03,true
18,8369,Discount,2023-06-23,false
19,6456,Cashback,2023-05-18,true
20,1108,Free Trial,2023-10-10,true
21,47,Cashback,2023-08-10,false
22,5084,Referral,2023-11-26,false
23,6760,Discount,2023-01-09,true
24,2157,Free Trial,2023-04-04,true
25,3462,Referral,2023-12-08,true
26,7151,Discount,2024-01-01,false
27,8715,Referral,2023-05-04,true
28,8538,Discount,2023-04-26,false
29,8864,Referral,2023-10-07,true
30,2998,Discount,2023-06-26,true
31,9291,Bundle,2023-02-23,true
32,5372,Bundle,2023-06-15,true
33,3935,Discount,2024-02-24,true
34,2213,Referral,2023-05-11,false
35,1104,Referral,2023-03-12,true
36,4966,Free Trial,2024-03-30,true
37,1433,Discount,2023-08-20,true
38,1256,Referral,2023-10-07,true
39,1808,Cashback,2024-01-04,true
40,93,Discount,2023-11-08,true
41,8739,Cashback,2024-03-23,true
42,5918,Discount,2023-04-06,true
43,1143,Discount,2023-12-21,true
44,2632,Referral,2023-03-09,true
45,6057,Discount,2023-08-24,true
46,2941,Free Trial,2023-04-24,true
47,5506,Free Trial,2023-07-23,true
48,6401,Free Trial,2023-03-04,false
49,5843,Free Trial,2023-08-08,true
50,3107,Referral,2023-06-18,true
51,890,Referral,2023-02-14,true
52,9194,Bundle,2023-07-22,true
53,2154,Bundle,2023-01-11,true
54,4177,Cashback,2023-08-30,true
55,2388,Bundle,2023-11-12,false
56,366,Referral,2023-09-10,true
57,6219,Bundle,2024-01-02,false
58,6854,Free Trial,2023-09-06,true
59,7936,Bundle,2024-01-26,true
60,569,Free Trial,2023-03-10,false
61,442,Cashback,2023-09-23,false
62,1186,Discount,2023-05-05,true
63,3404,Referral,2023-10-06,true
64,7757,Bundle,2023-08-16,true
65,2253,Free Trial,2023-08-30,true
66,9208,Bundle,2023-04-13,false
67,2292,Referral,2023-08-19,true
68,9392,Cashback,2024-03-27,true
69,4632,Discount,2023-02-01,true
70,863,Referral,2023-01-05,true
71,3826,Discount,2023-06-12,true
72,5897,Cashback,2023-08-21,true
73,4483,Referral,2023-02-27,false
74,3719,Discount,2023-08-24,false
75,5837,Cashback,2023-10-19,false
76,2086,Cashback,2023-12-06,true
77,6489,Free Trial,2024-02-14,true
78,9245,Bundle,2024-01-20,true
79,6931,Discount,2023-07-19,true
80,3245,Discount,2023-05-22,true
81,4389,Referral,2024-01-11,false
82,6877,Cashback,2023-08-25,true
83,503,Discount,2023-12-24,false
84,2384,Referral,2023-09-30,true
85,6222,Discount,2024-01-29,true
86,5244,Cashback,2023-04-23,true
87,1956,Cashback,2023-04-23,false
88,6380,Free Trial,2023-06-24,true
89,8547,Discount,2023-08-09,true
90,3756,Referral,2024-02-07,false
91,6781,Referral,2023-05-28,false
92,1696,Discount,2024-01-16,false
93,4799,Discount,2024-02-14,false
94,6004,Bundle,2023-03-20,false
95,5180,Cashback,2023-12-23,true
96,3178,Cashback,2024-03-29,true
97,1644,Referral,2024-02-13,true
98,1597,Discount,2023-02-27,false
99,983,Discount,2023-07-05,false
100,4373,Referral,2024-02-13,false
101,4451,Discount,2023-06-30,true
102,9984,Discount,2023-02-12,true
103,9999,Referral,2023-09-30,false
104,7559,Discount,2024-03-08,true
105,7247,Referral,2023-03-04,true
106,5844,Free Trial,2023-11-28,false
107,765,Bundle,2023-04-03,false
108,8357,Bundle,2024-01-31,true
109,1148,Referral,2023-02-27,false
110,8393,Bundle,2024-02-02,true
111,8432,Discount,2023-08-29,true
112,8707,Cashback,2023-01-09,true
113,3875,Referral,2023-11-26,false
114,7538,Free Trial,2023-07-18,true
115,9699,Referral,2023-08-19,true
116,4089,Free Trial,2024-02-05,true
117,3856,Referral,2023-07-14,true
118,9245,Bundle,2023-09-04,false
119,3496,Bundle,2023-02-25,true
120,5109,Free Trial,2024-01-14,true
121,5289,Bundle,2024-01-21,true
122,4710,Bundle,2023-02-05,false
123,5066,Referral,2023-10-25,true
124,7740,Cashback,2023-08-12,true
125,5415,Free Trial,2023-12-31,true
126,4818,Free Trial,2023-07-17,true
127,9228,Bundle,2023-02-04,true
128,1307,Bundle,2023-01-08,false
129,3843,Referral,2023-10-21,true
130,9470,Cashback,2023-03-02,true
131,9425,Bundle,2024-02-11,false
132,4547,Discount,2023-12-28,false
133,3607,Referral,2024-02-22,true
134,2706,Cashback,2023-02-18,true
135,3638,Bundle,2023-09-05,true
136,6219,Bundle,2023-01-27,true
137,2368,Cashback,2024-02-07,false
138,7566,Free Trial,2023-05-27,true
139,6651,Referral,2023-09-12,true
140,6263,Bundle,2023-09-08,false
141,6706,Bundle,2024-03-29,true
142,2918,Free Trial,2024-01-14,true
143,6456,Referral,2023-06-14,true
144,3481,Cashback,2023-06-06,true
145,1661,Discount,2024-01-02,true
146,9879,Cashback,2023-05-23,false
147,3188,Referral,2023-03-06,true
148,8061,Bundle,2023-09-29,true
149,4203,Discount,2024-01-24,true
150,8591,Discount,2023-11-03,true
151,8902,Free Trial,2023-05-02,true
152,2743,Discount,2023-11-21,false
153,6834,Referral,2023-04-13,true
154,1137,Free Trial,2024-01-21,true
155,5423,Discount,2023-07-17,true
156,5497,Bundle,2023-12-02,true
157,4941,Bundle,2023-12-18,false
158,8232,Free Trial,2023-07-26,true
159,4547,Referral,2023-12-25,true
160,527,Cashback,2023-01-07,false
161,194,Bundle,2023-02-10,true
162,5980,Free Trial,2023-05-13,true
163,1125,Referral,2023-02-11,true
164,4729,Discount,2023-03-21,true
165,5673,Discount,2023-03-02,true
166,5563,Bundle,2023-08-03,true
167,9272,Cashback,2023-08-05,true
168,6862,Bundle,2024-02-12,false
169,9127,Free Trial,2023-05-24,false
170,6861,Bundle,2023-10-16,false
171,5359,Bundle,2023-11-26,false
172,9756,Referral,2023-09-10,true
173,3731,Referral,2023-07-15,true
174,1513,Free Trial,2023-08-28,false
175,28,Cashback,2024-02-02,true
176,3594,Bundle,2023-11-28,false
177,4918,Referral,2023-04-10,true
178,6405,Referral,2023-12-04,false
179,6353,Discount,2024-03-05,true
180,9284,Cashback,2023-09-02,true
181,5132,Referral,2023-11-08,false
182,889,Bundle,2024-02-07,true
183,6746,Cashback,2023-11-26,false
184,1725,Discount,2023-08-22,true
185,9384,Referral,2023-10-30,true
186,9664,Bundle,2023-06-05,false
187,1646,Referral,2023-07-25,false
188,8918,Discount,2023-04-11,true
189,1722,Discount,2023-04-12,true
190,826,Bundle,2023-04-19,true
191,5769,Referral,2023-05-27,false
192,8209,Bundle,2023-03-30,false
193,4930,Discount,2023-01-30,false
194,5523,Discount,2023-08-11,true
195,8280,Bundle,2023-03-07,true
196,6038,Cashback,2024-03-13,true
197,9865,Cashback,2023-01-16,false
198,7027,Discount,2023-09-23,true
199,6073,Free Trial,2023-02-23,false
200,851,Free Trial,2024-02-27,true
201,2779,Discount,2023-03-17,true
202,6985,Discount,2023-05-15,false
203,2526,Referral,2023-05-21,true
204,6137,Referral,2023-04-02,true
205,6677,Bundle,2024-02-20,true
206,1189,Bundle,2024-03-20,true
207,7877,Free Trial,2024-01-18,true
208,9504,Referral,2023-04-11,true
209,5368,Free Trial,2023-10-24,true
210,4151,Referral,2023-11-11,false
211,7716,Bundle,2023-11-20,true
212,103,Bundle,2023-08-17,false
213,8671,Free Trial,2023-03-28,true
214,745,Discount,2023-03-09,true
215,6197,Discount,2023-07-27,false
216,4812,Cashback,2023-08-12,false
217,6574,Bundle,2024-03-23,true
218,2362,Discount,2023-06-05,true
219,833,Discount,2023-03-09,true
220,7531,Free Trial,2024-03-25,true
221,347,Bundle,2024-01-20,true
222,4865,Bundle,2023-07-29,true
223,3380,Referral,2023-12-21,true
224,399,Free Trial,2023-06-23,false
225,3067,Bundle,2024-02-18,true
226,7887,Bundle,2023-07-28,true
227,9307,Cashback,2024-03-14,true
228,456,Referral,2023-01-20,false
229,9073,Bundle,2023-12-17,true
230,6444,Cashback,2023-02-28,false
231,8963,Free Trial,2023-07-27,true
232,745,Bundle,2023-05-23,true
233,433,Free Trial,2023-12-11,true
234,907,Free Trial,2024-01-28,false
235,7053,Referral,2023-01-25,true
236,1431,Bundle,2023-01-18,true
237,7925,Discount,2023-04-01,true
238,2768,Cashback,2023-07-24,false
239,4614,Discount,2023-07-28,true
240,7961,Discount,2023-09-26,true
241,6389,Cashback,2023-12-01,false
242,9027,Bundle,2023-09-16,true
243,2693,Discount,2023-10-09,true
244,3965,Bundle,2023-09-18,true
245,638,Referral,2023-01-04,false
246,6982,Bundle,2023-10-26,true
247,2444,Cashback,2023-11-19,true
248,1718,Discount,2023-07-07,true
249,2958,Discount,2023-06-26,true
250,729,Free Trial,2023-07-10,false
251,282,Bundle,2023-12-23,true
252,9327,Bundle,2024-03-20,true
253,1503,Free Trial,2023-09-21,true
254,5364,Cashback,2023-02-26,false
255,5824,Discount,2023-11-16,true
256,7027,Discount,2023-02-04,true
257,9456,Discount,2023-11-02,true
258,522,Free Trial,2024-03-04,false
259,8418,Free Trial,2023-02-11,true
260,7071,Cashback,2023-04-28,true
261,4795,Referral,2023-05-31,true
262,5691,Free Trial,2023-10-25,true
263,7854,Cashback,2023-09-19,false
