session_id,viewer_id,session_start,session_end,session_duration,is_successful
1,203,2023-01-04 16:03:02,2023-01-04 11:30:02,57,true
2,9026,2023-12-16 00:30:34,2023-12-15 19:11:34,11,true
3,6716,2023-08-22 02:31:09,2023-08-21 22:41:09,100,false
4,9545,2023-05-16 15:11:20,2023-05-16 12:17:20,156,true
5,1108,2023-11-22 02:26:03,2023-11-21 22:30:03,94,false
6,6401,2023-02-17 14:56:53,2023-02-17 12:04:53,158,true
7,2533,2023-11-25 17:29:36,2023-11-25 14:54:36,175,true
8,3365,2023-09-27 05:37:46,2023-09-27 01:53:46,106,false
9,2418,2023-10-24 02:43:34,2023-10-23 22:54:34,101,true
10,2934,2023-12-30 16:08:44,2023-12-30 12:36:44,118,true
11,413,2023-11-03 05:03:05,2023-11-02 23:58:05,25,true
12,8803,2023-02-04 07:51:45,2023-02-04 05:04:45,163,true
13,3681,2023-01-04 00:09:56,2023-01-03 19:35:56,56,true
14,4851,2023-04-08 13:03:02,2023-04-08 09:55:02,142,true
15,8544,2023-09-14 18:42:56,2023-09-14 13:40:56,28,true
16,3034,2023-04-08 09:48:49,2023-04-08 06:27:49,129,true
17,6607,2023-10-28 00:58:37,2023-10-27 22:26:37,178,true
18,1713,2023-11-12 14:57:12,2023-11-12 10:37:12,70,true
19,1899,2023-05-23 09:38:50,2023-05-23 04:38:50,30,true
20,657,2023-11-14 05:20:05,2023-11-14 00:17:05,27,true
21,9461,2023-06-14 03:16:06,2023-06-13 23:58:06,132,true
22,4250,2023-02-09 03:25:07,2023-02-08 22:14:07,19,true
23,248,2023-05-30 17:29:52,2023-05-30 14:46:52,167,true
24,4866,2023-12-12 20:24:58,2023-12-12 16:03:58,69,true
25,7699,2023-05-18 18:46:45,2023-05-18 15:09:45,113,true
26,2566,2023-12-27 18:48:50,2023-12-27 15:04:50,106,true
27,2734,2023-04-28 21:56:42,2023-04-28 17:56:42,90,true
28,8713,2023-11-14 18:59:29,2023-11-14 16:00:29,151,true
29,3984,2023-03-18 15:11:46,2023-03-18 11:35:46,114,true
30,6962,2023-07-18 13:07:07,2023-07-18 09:49:07,132,true
31,6966,2023-02-12 01:04:43,2023-02-11 20:12:43,38,true
32,707,2023-06-03 05:50:22,2023-06-03 01:12:22,52,true
33,7829,2024-03-01 02:11:28,2024-02-29 21:34:28,53,false
34,517,2024-01-24 02:56:56,2024-01-23 21:38:56,12,true
35,171,2023-01-03 00:18:53,2023-01-02 21:01:53,133,true
36,5538,2023-07-23 21:47:40,2023-07-23 17:42:40,85,true
37,3806,2024-02-23 09:17:27,2024-02-23 05:35:27,108,true
38,4943,2023-04-05 23:22:26,2023-04-05 17:58:26,6,true
39,4089,2023-07-07 21:22:20,2023-07-07 16:52:20,60,true
40,4866,2023-07-04 18:00:42,2023-07-04 14:01:42,91,true
41,874,2023-02-17 01:51:31,2023-02-16 21:52:31,91,true
42,8647,2023-01-29 06:35:56,2023-01-29 02:58:56,113,true
43,5519,2023-02-12 12:03:52,2023-02-12 07:53:52,80,true
44,5600,2023-06-26 19:05:54,2023-06-26 14:22:54,47,false
45,9902,2023-04-02 17:39:26,2023-04-02 14:41:26,152,true
46,2384,2023-06-01 04:05:04,2023-05-31 23:00:04,25,true
47,1619,2023-02-11 19:59:56,2023-02-11 15:44:56,75,true
48,3402,2024-02-24 06:19:41,2024-02-24 03:19:41,150,true
49,1613,2023-08-19 00:21:37,2023-08-18 20:15:37,84,true
50,2541,2023-07-29 04:11:27,2023-07-28 23:37:27,56,true
51,6089,2023-01-05 23:34:59,2023-01-05 19:33:59,89,true
52,2248,2023-10-26 10:37:33,2023-10-26 07:53:33,166,false
53,8939,2024-02-03 00:06:32,2024-02-02 19:07:32,31,false
54,2717,2024-02-10 19:56:28,2024-02-10 15:09:28,43,true
55,280,2023-08-10 19:30:09,2023-08-10 14:51:09,51,true
56,5262,2023-07-11 13:19:13,2023-07-11 08:49:13,60,true
57,6403,2023-07-18 14:34:58,2023-07-18 09:21:58,17,true
58,7678,2023-04-25 09:53:46,2023-04-25 04:47:46,24,true
59,1542,2023-12-17 21:12:58,2023-12-17 16:32:58,50,false
60,5437,2024-02-09 17:37:23,2024-02-09 14:51:23,164,true
61,8452,2023-07-02 20:18:20,2023-07-02 16:44:20,116,false
62,4573,2023-06-19 10:46:53,2023-06-19 07:34:53,138,true
63,168,2023-12-02 12:37:12,2023-12-02 10:07:12,180,false
64,1098,2023-11-24 10:01:09,2023-11-24 07:19:09,168,false
65,5573,2023-11-23 20:34:50,2023-11-23 15:10:50,6,true
66,6905,2023-11-23 03:24:33,2023-11-22 23:59:33,125,true
67,6385,2024-02-24 19:58:51,2024-02-24 15:13:51,45,true
68,234,2023-04-23 02:29:51,2023-04-22 23:31:51,152,false
69,8184,2023-12-20 19:36:59,2023-12-20 15:19:59,73,true
70,4364,2023-10-14 15:34:58,2023-10-14 11:06:58,62,false
71,2912,2023-10-23 23:30:02,2023-10-23 20:41:02,161,true
72,2917,2023-02-12 18:07:39,2023-02-12 12:39:39,2,true
73,3067,2023-02-17 23:27:29,2023-02-17 20:40:29,163,false
74,1070,2023-02-01 02:13:03,2023-01-31 22:37:03,114,true
75,3454,2024-03-22 13:27:43,2024-03-22 09:36:43,99,true
76,6630,2023-11-03 05:40:49,2023-11-03 02:05:49,115,true
77,6163,2024-03-23 04:46:13,2024-03-23 01:09:13,113,true
78,1736,2023-04-15 17:37:27,2023-04-15 12:24:27,17,true
79,4176,2023-01-18 12:10:24,2023-01-18 07:52:24,72,true
80,2346,2023-09-15 20:08:49,2023-09-15 16:24:49,106,true
81,4970,2023-05-23 09:21:47,2023-05-23 06:51:47,180,true
82,6340,2023-04-24 17:08:37,2023-04-24 12:41:37,63,true
83,1354,2023-09-19 18:34:23,2023-09-19 15:08:23,124,true
84,1704,2023-12-22 23:48:19,2023-12-22 18:21:19,3,true
85,5044,2024-02-13 22:03:36,2024-02-13 19:09:36,156,true
86,7177,2023-02-28 19:09:24,2023-02-28 14:26:24,47,true
87,3140,2023-04-11 18:00:03,2023-04-11 12:46:03,16,true
88,446,2023-11-29 16:37:22,2023-11-29 11:29:22,22,true
89,646,2023-03-15 19:52:51,2023-03-15 15:32:51,70,false
90,681,2024-02-07 06:50:00,2024-02-07 03:05:00,105,true
91,8085,2023-02-05 20:23:31,2023-02-05 17:07:31,134,true
92,7474,2023-12-08 05:18:43,2023-12-08 00:31:43,43,true
93,10,2023-10-25 12:17:11,2023-10-25 08:27:11,100,true
94,7577,2023-10-22 10:14:53,2023-10-22 04:48:53,4,true
95,2019,2024-03-12 14:06:21,2024-03-12 10:03:21,87,true
96,1769,2024-01-28 22:34:14,2024-01-28 17:07:14,3,true
97,5796,2024-01-14 14:44:06,2024-01-14 10:44:06,90,true
98,3455,2024-01-22 19:07:56,2024-01-22 14:51:56,74,false
99,2274,2023-06-22 04:30:05,2023-06-22 01:47:05,167,true
100,3865,2023-09-20 21:52:29,2023-09-20 16:26:29,4,true
101,5060,2023-02-27 18:40:00,2023-02-27 14:14:00,64,true
102,5133,2023-09-26 02:55:36,2023-09-25 22:33:36,68,true
103,257,2023-11-30 08:42:38,2023-11-30 05:01:38,109,true
104,8906,2023-04-05 20:18:15,2023-04-05 16:43:15,115,true
105,543,2023-07-14 08:55:26,2023-07-14 05:47:26,142,true
106,1196,2023-12-24 09:19:19,2023-12-24 06:43:19,174,true
107,5769,2024-02-18 09:14:24,2024-02-18 04:19:24,35,true
108,5172,2024-02-09 17:54:23,2024-02-09 15:10:23,166,true
109,8963,2023-05-11 16:50:35,2023-05-11 13:56:35,156,true
110,371,2024-03-14 09:20:11,2024-03-14 04:46:11,56,true
111,9709,2024-01-09 04:02:48,2024-01-08 23:56:48,84,true
112,3238,2023-02-10 04:20:19,2023-02-10 00:16:19,86,true
113,7085,2023-08-04 07:03:17,2023-08-04 02:20:17,47,true
114,8967,2022-12-31 20:18:06,2022-12-31 16:15:06,87,true
115,8691,2024-01-04 09:13:26,2024-01-04 04:43:26,60,true
116,5902,2023-11-19 15:08:22,2023-11-19 11:03:22,85,true
117,3148,2023-06-28 00:47:58,2023-06-27 20:57:58,100,true
118,6715,2023-08-25 16:59:01,2023-08-25 11:55:01,26,true
119,8112,2023-03-24 11:38:31,2023-03-24 08:55:31,167,true
120,3258,2023-12-05 14:35:02,2023-12-05 10:05:02,60,true
121,1753,2023-03-02 10:34:58,2023-03-02 05:35:58,31,true
122,9335,2023-04-30 07:36:57,2023-04-30 04:09:57,123,true
123,4357,2024-02-13 16:01:02,2024-02-13 11:11:02,40,true
124,6417,2023-04-08 02:10:22,2023-04-07 20:47:22,7,true
125,1216,2023-07-03 06:11:27,2023-07-03 02:28:27,107,true
126,4810,2023-06-14 17:00:11,2023-06-14 13:46:11,136,true
127,5815,2023-02-21 19:34:25,2023-02-21 16:21:25,137,true
128,4421,2023-02-25 16:27:39,2023-02-25 13:46:39,169,true
129,7996,2023-01-13 08:40:56,2023-01-13 03:41:56,31,true
130,7541,2024-02-06 01:42:08,2024-02-05 22:21:08,129,true
131,2444,2023-04-05 19:52:37,2023-04-05 16:09:37,107,true
132,3472,2024-02-04 05:11:48,2024-02-04 00:19:48,38,true
133,2063,2023-10-28 05:25:04,2023-10-28 02:10:04,135,true
134,2316,2023-06-27 13:47:04,2023-06-27 10:51:04,154,true
135,1538,2023-07-14 21:11:21,2023-07-14 18:07:21,146,true
136,7230,2023-04-26 15:34:08,2023-04-26 11:39:08,95,true
137,9146,2023-09-03 07:37:24,2023-09-03 04:41:24,154,true
138,8526,2023-07-16 18:56:48,2023-07-16 13:44:48,18,true
139,6507,2024-03-28 12:14:12,2024-03-28 08:27:12,103,true
140,1964,2023-03-04 15:03:57,2023-03-04 11:34:57,121,true
141,3473,2023-01-18 20:33:29,2023-01-18 16:20:29,77,true
142,2094,2023-03-08 15:48:46,2023-03-08 11:42:46,84,true
143,5378,2024-01-05 23:51:26,2024-01-05 18:33:26,12,false
144,3097,2023-03-21 03:19:37,2023-03-20 21:57:37,8,true
145,3166,2023-05-29 08:49:35,2023-05-29 05:47:35,148,false
146,2413,2023-06-06 01:59:31,2023-06-05 20:47:31,18,true
147,5910,2024-02-21 02:13:13,2024-02-20 22:54:13,131,true
148,8166,2023-09-28 08:19:33,2023-09-28 04:24:33,95,true
149,7529,2023-12-28 00:46:31,2023-12-27 20:21:31,65,true
150,2604,2023-12-14 06:19:16,2023-12-14 02:18:16,89,true
151,793,2023-04-26 04:42:27,2023-04-25 23:31:27,19,true
152,2038,2024-01-18 02:35:47,2024-01-17 23:44:47,159,true
153,3406,2023-09-15 21:47:39,2023-09-15 17:49:39,92,true
154,1336,2023-09-06 15:07:12,2023-09-06 09:43:12,6,true
155,63,2023-04-11 11:34:53,2023-04-11 08:41:53,157,true
156,7554,2023-06-15 02:41:57,2023-06-14 21:32:57,21,true
157,9190,2023-12-01 07:55:22,2023-12-01 04:56:22,151,true
158,729,2023-11-15 09:57:26,2023-11-15 05:20:26,53,true
159,733,2023-02-09 21:57:02,2023-02-09 17:42:02,75,true
160,6491,2023-07-19 09:40:26,2023-07-19 06:10:26,120,true
161,1457,2023-10-17 09:09:31,2023-10-17 03:50:31,11,true
162,2007,2024-03-21 00:20:18,2024-03-20 20:32:18,102,false
163,8019,2023-06-13 14:58:17,2023-06-13 10:48:17,80,true
164,4444,2024-01-29 18:32:12,2024-01-29 13:35:12,33,true
165,7647,2023-01-19 11:50:03,2023-01-19 09:19:03,179,true
166,7538,2023-06-28 06:24:30,2023-06-28 00:58:30,4,true
167,4106,2023-05-17 01:28:18,2023-05-16 22:58:18,180,false
168,5074,2023-11-08 18:13:58,2023-11-08 14:53:58,130,false
169,789,2023-01-04 10:21:41,2023-01-04 07:46:41,175,true
170,2226,2024-01-15 02:05:32,2024-01-14 23:35:32,180,true
171,9783,2023-10-22 10:40:22,2023-10-22 05:34:22,24,true
172,6516,2023-06-22 04:59:18,2023-06-22 01:13:18,104,true
173,6349,2023-11-27 05:46:18,2023-11-27 00:26:18,10,true
174,6888,2023-04-09 21:58:26,2023-04-09 17:01:26,33,true
175,346,2023-09-10 12:26:18,2023-09-10 07:08:18,12,true
176,3110,2023-12-08 01:11:53,2023-12-07 20:15:53,34,true
177,7481,2024-01-17 11:46:21,2024-01-17 07:12:21,56,true
178,5010,2023-09-26 19:40:20,2023-09-26 16:41:20,151,true
179,3005,2023-09-02 14:28:56,2023-09-02 11:14:56,136,false
180,511,2024-02-14 01:55:48,2024-02-13 20:45:48,20,true
