viewer_id,signup_date,country,age_group
1,2024-03-30,Canada,26-35
2,2023-09-09,Germany,26-35
3,2023-03-22,Australia,36-45
4,2023-04-04,USA,26-35
5,2023-05-26,Canada,46-55
6,2023-08-15,Germany,36-45
7,2023-06-15,France,18-25
8,2024-02-28,Brazil,36-45
9,2023-06-18,USA,26-35
10,2023-02-14,France,26-35
11,2024-02-17,India,46-55
12,2023-01-23,France,18-25
13,2024-01-24,Australia,56+
14,2024-03-10,Mexico,56+
15,2023-05-12,Mexico,46-55
16,2023-01-16,Germany,56+
17,2023-11-05,India,18-25
18,2023-07-26,Japan,46-55
19,2023-07-16,Australia,18-25
20,2023-09-14,Germany,46-55
21,2023-05-28,Germany,36-45
22,2024-03-19,Canada,46-55
23,2023-05-19,Japan,26-35
24,2023-08-25,Mexico,46-55
25,2024-03-22,UK,26-35
26,2023-12-19,USA,46-55
27,2024-01-26,Canada,46-55
28,2023-03-11,Brazil,36-45
29,2024-03-03,UK,46-55
30,2024-01-22,USA,46-55
31,2023-02-06,India,18-25
32,2023-02-07,Mexico,18-25
33,2023-02-20,Mexico,18-25
34,2023-04-24,Mexico,46-55
35,2023-01-16,Brazil,26-35
36,2023-09-10,USA,26-35
37,2023-01-28,Australia,56+
38,2024-02-27,Canada,56+
39,2023-05-29,Germany,46-55
40,2023-01-31,Japan,46-55
41,2023-03-15,Mexico,36-45
42,2024-01-22,Germany,36-45
43,2023-04-25,Canada,26-35
44,2023-11-13,USA,46-55
45,2023-09-28,India,46-55
46,2023-12-14,India,18-25
47,2023-02-26,France,18-25
48,2023-06-11,Australia,36-45
49,2023-01-28,Mexico,56+
50,2024-01-20,Canada,26-35
51,2023-03-17,Canada,18-25
52,2023-09-08,Mexico,56+
53,2023-02-01,UK,26-35
54,2023-03-03,Brazil,18-25
55,2023-11-26,Brazil,26-35
56,2023-06-26,USA,56+
57,2023-07-21,France,18-25
58,2023-06-03,Japan,46-55
59,2023-09-04,Canada,26-35
60,2023-11-20,Germany,18-25
61,2023-09-30,Brazil,56+
62,2023-01-15,Brazil,26-35
63,2023-05-31,UK,18-25
64,2024-02-17,Germany,36-45
65,2023-08-07,Australia,46-55
66,2023-06-27,Japan,56+
67,2023-12-12,France,26-35
68,2024-03-07,USA,26-35
69,2023-11-27,India,36-45
70,2024-03-21,Mexico,56+
71,2023-02-11,Mexico,46-55
72,2023-07-10,France,46-55
73,2023-09-24,Mexico,36-45
74,2024-01-15,India,26-35
75,2023-05-14,UK,46-55
76,2023-11-09,Brazil,36-45
77,2023-06-29,Canada,46-55
78,2023-07-29,India,56+
79,2024-02-06,UK,26-35
80,2024-03-02,Germany,46-55
81,2023-02-17,Brazil,36-45
82,2023-09-06,Brazil,46-55
83,2023-05-30,UK,36-45
84,2023-01-04,Canada,36-45
85,2023-08-10,Germany,46-55
86,2023-01-26,France,18-25
87,2023-06-10,Canada,18-25
88,2023-03-24,USA,56+
89,2024-02-23,India,36-45
90,2023-04-04,Brazil,18-25
91,2023-06-25,India,46-55
92,2023-04-14,Canada,56+
93,2023-01-07,Germany,18-25
94,2023-05-07,France,46-55
95,2023-10-02,UK,26-35
96,2024-02-05,Germany,26-35
97,2023-03-14,Germany,18-25
98,2023-06-07,UK,36-45
99,2023-06-19,Japan,56+
100,2023-01-29,Brazil,46-55
101,2023-10-24,India,56+
102,2023-01-23,Australia,46-55
103,2024-01-14,Germany,56+
104,2023-07-30,Australia,56+
105,2023-10-07,Germany,36-45
106,2023-05-01,Canada,46-55
107,2023-02-13,Brazil,36-45
108,2023-11-23,UK,46-55
109,2023-08-01,Japan,56+
110,2023-10-21,France,46-55
111,2024-02-03,India,18-25
112,2024-03-22,India,18-25
113,2023-09-14,Japan,56+
114,2024-01-01,Canada,46-55
115,2023-04-20,USA,46-55
116,2023-03-31,India,46-55
117,2023-05-28,India,18-25
118,2023-08-01,Australia,18-25
119,2024-03-13,India,26-35
120,2023-11-18,Mexico,36-45
121,2023-09-19,USA,26-35
122,2023-03-05,Australia,36-45
123,2023-09-28,Brazil,36-45
124,2024-01-12,Germany,56+
125,2023-12-20,Brazil,26-35
126,2023-03-21,Japan,56+
127,2024-03-23,Canada,56+
128,2023-10-17,France,18-25
129,2023-03-20,Germany,36-45
130,2023-02-09,Australia,26-35
131,2024-01-06,Canada,56+
132,2023-03-03,Mexico,46-55
133,2023-01-17,Mexico,18-25
134,2023-11-07,Canada,18-25
135,2024-03-04,Germany,26-35
136,2023-11-01,India,46-55
137,2024-01-21,Mexico,18-25
138,2023-10-21,Germany,46-55
139,2023-04-21,Japan,56+
140,2023-09-09,USA,46-55
141,2024-01-16,Brazil,18-25
142,2023-01-18,Australia,18-25
143,2023-07-10,UK,18-25
144,2023-10-23,Germany,56+
145,2023-01-08,Mexico,36-45
146,2023-09-18,UK,18-25
147,2023-03-18,USA,46-55
